subject,accuracy,recall,precision,f1

split_0,0.6508153846153846,0.5915528627177112,0.6723391264528228,0.6293641203174499

split_1,0.6433925937239991,0.604596624766387,0.6576728352335305,0.6300188493552853

split_2,0.6450846153846153,0.588226715178311,0.6648361181961723,0.6241895546215749

split_3,0.6436769230769231,0.6040039549018555,0.6578980322750306,0.6298001230749558

split_4,0.59183269230769234,0.5086687674881877,0.611379195807422,0.5553146154281297

split_5,0.6062461538461539,0.5416213849858107,0.6228972437276143,0.5794230500620332

split_5,0.6067653846153846,0.5434091127098322,0.6236036440651845,0.5807509831178471

split_6,0.5869961538461539,0.5603716240879418,0.5924114595815376,0.5759462928225886

split_7,0.5835,0.5025313880604463,0.6008471814923427,0.5473091039822083

split_8,0.6431865384615385,0.5955662302981937,0.6595286349789046,0.6259175999758063

split_9,0.5810269230769231,0.5037562844421947,0.5975707949505288,0.5466678319059153

