subject,accuracy,time,accuracy_embedding,time_embedding
S001,96.7741935483871,9.069183111190796,100.0,4.907044172286987
S002,85.48387096774194,10.536843299865723,88.70967741935483,5.4188551902771
S003,51.61290322580645,10.515930652618408,56.451612903225815,5.842058420181274
S004,90.32258064516128,10.441644668579102,90.32258064516128,5.663489103317261
S005,96.7741935483871,11.801925897598267,98.38709677419355,6.245531797409058
S006,96.7741935483871,11.087929725646973,96.7741935483871,5.4568257331848145
S007,56.451612903225815,10.96436095237732,61.29032258064516,6.231311082839966
S008,90.32258064516128,9.236593008041382,85.48387096774194,4.8898537158966064
S009,88.70967741935483,10.853227853775024,90.32258064516128,5.977745771408081
S010,74.19354838709677,9.08479356765747,74.19354838709677,5.137681245803833
S011,98.38709677419355,9.406715154647827,95.16129032258065,6.444966793060303
S012,93.54838709677419,12.824851751327515,90.32258064516128,6.174647331237793
S013,96.7741935483871,9.58416748046875,95.16129032258065,5.544013500213623
S014,87.09677419354838,10.026097774505615,90.32258064516128,5.407604455947876
S015,90.32258064516128,10.125359296798706,88.70967741935483,5.329046010971069
S016,95.16129032258065,9.710208654403687,96.7741935483871,5.417701005935669
S017,100.0,9.775137186050415,98.38709677419355,5.305722951889038
S018,90.32258064516128,9.709394454956055,91.93548387096774,5.390925645828247
S019,87.09677419354838,9.980534791946411,77.41935483870968,5.309897422790527
S020,67.74193548387096,9.724391460418701,80.64516129032258,5.28489351272583
S021,100.0,9.647197723388672,100.0,5.3125669956207275
S022,79.03225806451613,9.292401552200317,83.87096774193549,4.998170614242554
S023,96.7741935483871,8.858651161193848,91.93548387096774,4.948570966720581
S024,71.875,9.011364221572876,71.875,4.884570598602295
S025,75.80645161290323,8.954418659210205,79.03225806451613,4.888501882553101
S026,66.12903225806451,9.391268730163574,62.903225806451616,4.89249324798584
S027,62.903225806451616,10.409390687942505,69.35483870967742,6.431062698364258
S029,85.48387096774194,10.391066551208496,80.64516129032258,5.614016532897949
S031,100.0,10.17128038406372,100.0,5.636619567871094
S032,100.0,9.682494163513184,98.38709677419355,5.963178634643555
S033,54.83870967741935,10.837729692459106,61.29032258064516,6.771806955337524
S034,95.16129032258065,10.568978071212769,96.7741935483871,6.239673137664795
S035,78.68852459016394,11.045463800430298,85.24590163934425,6.081446170806885
S036,88.70967741935483,11.585232496261597,83.87096774193549,6.311675310134888
S037,82.25806451612904,11.48903226852417,87.09677419354838,6.499160528182983
S038,93.54838709677419,11.440039873123169,90.32258064516128,6.413967132568359
S039,83.87096774193549,11.451417922973633,85.48387096774194,6.1274003982543945
S040,96.7741935483871,11.496850967407227,95.16129032258065,6.116512775421143
S041,91.93548387096774,11.37786340713501,90.32258064516128,6.286632299423218
S042,69.35483870967742,11.469146013259888,66.12903225806451,6.408276796340942
S043,95.16129032258065,11.134572505950928,88.70967741935483,6.256408214569092
S044,56.451612903225815,11.605530738830566,53.2258064516129,6.481611967086792
S045,98.38709677419355,11.604406356811523,98.38709677419355,6.4270851612091064
S046,74.19354838709677,11.269691705703735,62.903225806451616,6.231741428375244
S047,77.41935483870968,11.073794841766357,69.35483870967742,6.301207780838013
S048,54.83870967741935,11.41127324104309,56.451612903225815,6.125127792358398
S049,95.16129032258065,11.322675943374634,96.7741935483871,6.219165086746216
S050,96.7741935483871,10.688765525817871,98.38709677419355,5.777852535247803
S051,75.80645161290323,10.874212265014648,82.25806451612904,6.575870513916016
S052,100.0,10.570420265197754,98.38709677419355,5.99174165725708
S053,93.54838709677419,11.352900266647339,91.93548387096774,6.346031188964844
S054,87.09677419354838,11.232609272003174,87.09677419354838,6.226081132888794
S055,95.16129032258065,11.182241439819336,91.93548387096774,6.428103685379028
S056,83.87096774193549,11.080618381500244,83.87096774193549,6.325503587722778
S057,91.93548387096774,11.430448770523071,95.16129032258065,6.284684181213379
S058,86.88524590163934,11.585084199905396,78.68852459016394,6.299760341644287
S060,96.7741935483871,11.35944652557373,96.7741935483871,6.340116024017334
S061,80.64516129032258,11.4476158618927,88.70967741935483,6.422534465789795
S062,82.25806451612904,11.452508687973022,88.70967741935483,6.485794544219971
S063,93.54838709677419,11.302978277206421,93.54838709677419,6.51097559928894
S064,61.29032258064516,11.510408639907837,56.451612903225815,6.197988033294678
S065,66.12903225806451,11.548610210418701,64.51612903225806,6.428608417510986
S066,88.70967741935483,10.63966178894043,87.09677419354838,5.791283130645752
S067,67.74193548387096,10.709403038024902,67.74193548387096,6.021632671356201
S068,90.32258064516128,10.71085786819458,87.09677419354838,5.929157495498657
S069,95.16129032258065,10.974299430847168,96.7741935483871,6.30209755897522
S070,91.93548387096774,10.947065830230713,87.09677419354838,6.071291208267212
S071,75.80645161290323,10.827589511871338,80.64516129032258,5.896705627441406
S072,80.64516129032258,11.18993067741394,83.87096774193549,5.974091529846191
S073,90.32258064516128,11.246247053146362,85.48387096774194,6.223185777664185
S074,62.903225806451616,11.027356147766113,59.67741935483871,6.3939125537872314
S075,93.54838709677419,11.101762533187866,95.16129032258065,6.2517616748809814
S076,82.25806451612904,11.516894102096558,83.87096774193549,6.61687707901001
S077,85.48387096774194,10.984025001525879,88.70967741935483,6.221054553985596
S078,100.0,11.17368483543396,96.7741935483871,6.362544536590576
S079,72.58064516129032,11.819385528564453,70.96774193548387,6.630275011062622
S080,96.7741935483871,11.051301002502441,90.32258064516128,6.273848533630371
S081,66.12903225806451,11.457460403442383,64.51612903225806,6.2882466316223145
S082,56.451612903225815,11.919701337814331,61.29032258064516,5.954584121704102
S083,90.32258064516128,10.281393766403198,82.25806451612904,5.789320707321167
S084,85.48387096774194,10.4317467212677,90.32258064516128,5.422213077545166
S085,64.51612903225806,10.993126392364502,62.903225806451616,5.817366123199463
S086,66.12903225806451,11.48913049697876,64.51612903225806,6.2670347690582275
S087,93.54838709677419,11.154025554656982,91.93548387096774,6.055298805236816
S088,69.35483870967742,10.914087295532227,77.41935483870968,6.206235647201538
S089,88.70967741935483,11.501666069030762,91.93548387096774,6.177091360092163
S090,98.38709677419355,10.914338827133179,100.0,5.823763132095337
S091,53.2258064516129,11.046693325042725,56.451612903225815,6.266930818557739
S092,85.48387096774194,11.263805866241455,90.32258064516128,6.116437196731567
S093,96.7741935483871,11.480741262435913,96.7741935483871,6.397746324539185
S094,74.19354838709677,11.459286212921143,77.41935483870968,6.244307994842529
S095,74.19354838709677,11.117533922195435,66.12903225806451,6.386999607086182
S096,95.16129032258065,11.37486457824707,91.93548387096774,6.312366247177124
S097,51.61290322580645,11.226741313934326,43.54838709677419,6.293248653411865
S098,87.09677419354838,11.498236656188965,88.70967741935483,6.439993381500244
S099,69.35483870967742,10.786348104476929,77.41935483870968,6.195389986038208
S100,72.58064516129032,11.587486743927002,77.41935483870968,6.11262583732605
S101,93.54838709677419,11.50825810432434,98.38709677419355,6.355421781539917
S102,74.19354838709677,11.417454242706299,83.87096774193549,6.2766571044921875
S103,88.70967741935483,11.537515878677368,90.32258064516128,6.257357358932495
S104,98.38709677419355,11.066498279571533,98.38709677419355,5.607133865356445
S105,54.83870967741935,10.094332695007324,66.12903225806451,5.600496768951416
S106,88.70967741935483,9.977624416351318,88.70967741935483,5.688128471374512
S107,51.61290322580645,11.163334608078003,67.74193548387096,6.0340189933776855
S109,93.54838709677419,11.164569616317749,88.70967741935483,6.073214292526245
S110,77.41935483870968,11.429530620574951,82.25806451612904,6.358056306838989
S111,82.25806451612904,11.369679927825928,80.64516129032258,6.532732009887695
S112,96.7741935483871,11.449127912521362,96.7741935483871,6.373912811279297
S113,77.41935483870968,11.233579635620117,79.03225806451613,6.25674843788147
S114,100.0,11.269009828567505,98.38709677419355,6.671529293060303
S115,88.70967741935483,11.729161977767944,88.70967741935483,6.478344440460205
S116,82.25806451612904,11.094409704208374,88.70967741935483,6.142507791519165
S117,88.70967741935483,9.119152545928955,96.7741935483871,5.112416505813599
S118,77.41935483870968,8.926432609558105,69.35483870967742,4.825865983963013
S119,67.74193548387096,8.912565469741821,70.96774193548387,4.88096022605896
S120,91.93548387096774,8.91125774383545,95.16129032258065,5.010329961776733
S121,90.32258064516128,8.92551589012146,95.16129032258065,4.876715898513794
S122,79.76190476190477,9.270539999008179,76.19047619047619,4.827163219451904
S123,56.451612903225815,9.044375658035278,62.903225806451616,5.007833242416382
S124,82.25806451612904,9.148083925247192,88.70967741935483,5.055321455001831
S125,62.903225806451616,9.273147821426392,59.67741935483871,5.178076267242432
S126,77.41935483870968,9.238901853561401,69.35483870967742,5.052532911300659
S127,91.93548387096774,9.17259430885315,95.16129032258065,4.990130662918091
S128,93.54838709677419,9.271975755691528,90.32258064516128,4.767752647399902
S129,91.93548387096774,9.537479162216187,90.32258064516128,5.384751319885254
S130,93.75,8.919891595840454,98.4375,5.047883749008179
S131,70.96774193548387,8.967960834503174,67.74193548387096,4.873183012008667
S132,79.03225806451613,8.865926742553711,75.80645161290323,4.970102548599243
S133,77.41935483870968,8.878432273864746,82.25806451612904,5.069658517837524
S134,85.48387096774194,8.892171382904053,80.64516129032258,4.987253189086914
