subject,accuracy,time,accuracy_embedding,time_embedding
S001,100.0,9.401434659957886,100.0,3.7918100357055664
S002,100.0,9.175151348114014,98.4375,4.0592360496521
S003,100.0,9.296897649765015,100.0,3.958554744720459
S004,93.54838709677419,9.447546243667603,93.54838709677419,3.80871844291687
S005,90.32258064516128,9.429387331008911,95.16129032258065,3.9979984760284424
S006,100.0,9.280807495117188,100.0,3.8739211559295654
S007,96.7741935483871,9.334378719329834,93.54838709677419,3.7853097915649414
S008,100.0,9.418267011642456,100.0,3.9760210514068604
S009,96.7741935483871,9.314656496047974,100.0,3.7185606956481934
S010,100.0,9.287237405776978,100.0,3.899320602416992
S011,96.7741935483871,9.147165775299072,95.16129032258065,3.6579678058624268
S012,100.0,9.33245062828064,98.38709677419355,3.9902055263519287
S013,91.66666666666666,9.249810218811035,88.33333333333333,4.123817682266235
S014,96.7741935483871,9.18372368812561,91.93548387096774,3.788520574569702
S015,100.0,9.358335494995117,100.0,4.0327489376068115
S016,96.7741935483871,9.356896877288818,98.38709677419355,3.789382219314575
S017,100.0,9.496734857559204,100.0,4.0439369678497314
S018,100.0,9.269026756286621,100.0,3.8232014179229736
S019,85.48387096774194,9.503048181533813,87.09677419354838,3.754978656768799
S020,83.87096774193549,9.360763311386108,88.70967741935483,3.7815771102905273
S021,100.0,9.366684436798096,100.0,3.8996567726135254
S022,79.03225806451613,9.189342260360718,79.03225806451613,3.8743250370025635
S023,100.0,9.21725583076477,98.38709677419355,3.9621710777282715
S024,100.0,9.37442398071289,100.0,3.774628162384033
S025,100.0,9.313154935836792,100.0,3.976163148880005
S026,85.48387096774194,9.284046649932861,88.70967741935483,3.8119778633117676
S027,91.93548387096774,9.424283742904663,90.32258064516128,3.7376880645751953
S029,98.38709677419355,9.333093881607056,100.0,3.863290548324585
S031,100.0,9.279599905014038,100.0,3.887868881225586
S032,100.0,9.179130554199219,100.0,4.075902700424194
S033,79.03225806451613,9.28069257736206,77.41935483870968,3.819831132888794
S034,100.0,9.36005973815918,100.0,3.990476608276367
S035,98.38709677419355,9.290728092193604,98.38709677419355,3.902217388153076
S036,100.0,9.085180521011353,100.0,3.788581371307373
S037,91.37931034482759,9.337525606155396,86.20689655172413,3.7697877883911133
S038,96.7741935483871,9.505667209625244,93.54838709677419,3.8986122608184814
S039,90.0,9.284380197525024,90.0,3.801669120788574
S040,98.38709677419355,9.799514532089233,96.7741935483871,4.157010316848755
S041,100.0,9.396777868270874,100.0,3.7874467372894287
S042,100.0,9.345112562179565,100.0,3.9846174716949463
S043,93.54838709677419,9.125725269317627,98.38709677419355,4.114143371582031
S044,98.38709677419355,9.511492013931274,98.38709677419355,3.714615821838379
S045,96.7741935483871,9.477659940719604,100.0,3.879999876022339
S046,96.7741935483871,9.561084270477295,95.16129032258065,4.036680221557617
S047,100.0,9.49682903289795,98.38709677419355,3.887936592102051
S048,91.93548387096774,9.164577722549438,91.93548387096774,3.6232032775878906
S049,98.38709677419355,9.19348406791687,96.7741935483871,4.0481061935424805
S050,100.0,9.24230432510376,96.7741935483871,3.9265365600585938
S051,100.0,9.437873363494873,100.0,4.134055852890015
S052,100.0,9.398132801055908,100.0,3.642518997192383
S053,100.0,9.204057693481445,100.0,3.9473698139190674
S054,91.93548387096774,9.092053174972534,91.93548387096774,3.8601136207580566
S055,100.0,9.207098007202148,96.7741935483871,4.040557622909546
S056,95.0,9.246851205825806,98.33333333333333,3.9844720363616943
S057,100.0,9.200292348861694,98.38709677419355,3.7350125312805176
S058,100.0,9.301475763320923,100.0,4.047920227050781
S060,100.0,9.153825759887695,100.0,3.997333288192749
S061,98.38709677419355,9.016119956970215,98.38709677419355,3.6133346557617188
S062,98.38709677419355,9.184938907623291,100.0,3.736220598220825
S063,96.7741935483871,9.154717683792114,90.32258064516128,3.7200169563293457
S064,88.70967741935483,8.7314772605896,82.25806451612904,3.5014331340789795
S065,79.03225806451613,8.25943899154663,74.19354838709677,3.952915668487549
S066,98.38709677419355,8.464401721954346,98.38709677419355,3.5507681369781494
S067,93.54838709677419,8.485326290130615,93.54838709677419,3.5983150005340576
S068,72.58064516129032,8.560858249664307,67.74193548387096,3.5495669841766357
S069,96.7741935483871,8.526623725891113,96.7741935483871,3.664963960647583
S070,100.0,8.542529344558716,100.0,3.5440428256988525
S071,96.66666666666667,8.540525197982788,96.66666666666667,3.451122760772705
S072,100.0,8.588703632354736,100.0,3.9904842376708984
S073,98.38709677419355,9.309494733810425,98.38709677419355,3.7137222290039062
S074,100.0,8.651031494140625,100.0,3.444671630859375
S075,100.0,8.555444240570068,100.0,3.5037357807159424
S076,100.0,8.617275714874268,98.38709677419355,3.532672166824341
S077,93.54838709677419,8.687269926071167,98.38709677419355,3.4880788326263428
S078,80.64516129032258,8.461530685424805,82.25806451612904,3.3379812240600586
S079,98.38709677419355,8.539921522140503,98.38709677419355,3.5405192375183105
S080,88.70967741935483,8.590644598007202,88.70967741935483,3.5127596855163574
S081,95.16129032258065,8.610542297363281,95.16129032258065,3.3663034439086914
S082,98.38709677419355,8.626516580581665,98.38709677419355,3.697620153427124
S083,88.70967741935483,8.473849534988403,90.32258064516128,3.6202967166900635
S084,100.0,8.603917360305786,100.0,3.638486623764038
S085,91.93548387096774,8.497533082962036,91.93548387096774,3.726456880569458
S086,70.96774193548387,8.650113344192505,72.58064516129032,3.599405288696289
S087,93.54838709677419,8.545615673065186,93.54838709677419,3.444387435913086
S088,95.16129032258065,8.589270114898682,96.7741935483871,3.57621431350708
S089,98.38709677419355,8.459447860717773,98.38709677419355,3.5698723793029785
S090,85.48387096774194,8.614565372467041,91.93548387096774,3.4994425773620605
S091,95.16129032258065,8.68966031074524,95.16129032258065,3.5607998371124268
S092,98.38709677419355,8.619075536727905,98.38709677419355,3.515874147415161
S093,77.41935483870968,8.50409746170044,82.25806451612904,3.631084680557251
S094,98.38709677419355,8.433400630950928,96.7741935483871,3.4558544158935547
S095,96.7741935483871,8.504953861236572,95.16129032258065,3.3712544441223145
S096,95.16129032258065,8.673532724380493,93.54838709677419,3.444669723510742
S097,98.38709677419355,8.574402570724487,98.38709677419355,3.3966996669769287
S098,100.0,8.598521709442139,100.0,3.6553232669830322
S099,96.7741935483871,8.43364143371582,100.0,3.558673858642578
S100,82.25806451612904,8.529882669448853,85.48387096774194,3.5860891342163086
S101,98.38709677419355,8.678595542907715,98.38709677419355,3.537382125854492
S102,53.2258064516129,8.358110189437866,59.67741935483871,3.461287021636963
S103,91.93548387096774,8.455681324005127,91.93548387096774,3.6071689128875732
S104,100.0,8.45600962638855,100.0,3.384514808654785
S105,98.38709677419355,8.49963927268982,100.0,3.415217876434326
S106,95.16129032258065,8.58005666732788,96.7741935483871,3.4395852088928223
S107,98.38709677419355,8.594062089920044,95.16129032258065,3.294203996658325
S109,98.38709677419355,8.581759691238403,98.38709677419355,3.5369925498962402
S110,96.7741935483871,8.609792709350586,96.7741935483871,3.477269172668457
S111,98.38709677419355,8.506772756576538,98.38709677419355,3.5347845554351807
S112,98.38709677419355,8.612549066543579,95.16129032258065,3.4834041595458984
S113,100.0,8.6876380443573,100.0,3.5387423038482666
S114,100.0,8.550665378570557,98.38709677419355,3.5561437606811523
