subject,accuracy,recall,precision,f1,tn,fn,fp,tp

1,84.97,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.8333333333333334,0.14814814814814814,0.1527777777777778,0.8641975308641975
10,100.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
14,75.56,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.75,0.2,0.3,0.76
15,68.42,0.7325581395348837,0.7325581395348837,0.7325581395348837,0.7444444444444445,0.23,0.4111111111111111,0.63
17,67.34,0.7155963302752294,0.7155963302752294,0.7155963302752294,0.7416666666666667,0.2421875,0.4166666666666667,0.609375
19,62.32,0.6461538461538462,0.6461538461538462,0.6461538461538462,0.6479591836734694,0.32857142857142857,0.42857142857142855,0.6
2,54.35,0.5608108108108109,0.5608108108108109,0.5608108108108109,0.5075757575757576,0.4513888888888889,0.4621212121212121,0.5763888888888888
20,61.33,0.6267942583732058,0.6267942583732058,0.6267942583732058,0.6020408163265306,0.37142857142857144,0.4030612244897959,0.6238095238095238
21,71.11,0.8,0.8,0.8,0.8,0.16,0.45,0.64
23,57.98,0.60625,0.60625,0.60625,0.657608695652174,0.328125,0.5163043478260869,0.5052083333333334
25,68.95,0.7127659574468085,0.7127659574468085,0.7127659574468085,0.7032967032967034,0.2727272727272727,0.3516483516483517,0.6767676767676768
28,69.59,0.7148148148148148,0.7148148148148148,0.7148148148148148,0.7215189873417721,0.2678260869565217,0.34177215189873417,0.671304347826087
29,72.06,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.8125,0.16666666666666666,0.40625,0.6388888888888888
3,79.27,0.7906976744186046,0.7906976744186046,0.7906976744186046,0.775,0.21428571428571427,0.2,0.8095238095238095
30,76.64999999999999,0.8180112570356473,0.8180112570356473,0.8180112570356473,0.8383333333333334,0.1552,0.315,0.6976
31,78.33,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.9107142857142857,0.078125,0.375,0.671875
32,100.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
33,71.43,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.5833333333333334,0.3125,0.25,0.8125
35,60.92999999999999,0.6348645465253239,0.6348645465253239,0.6348645465253239,0.6774193548387096,0.3125,0.4713839750260146,0.5433467741935484
36,75.0,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.75,0.2,0.3125,0.75
37,85.45,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.84,0.13333333333333333,0.16,0.8666666666666667
38,71.43,0.75,0.75,0.75,0.6666666666666666,0.25,0.3333333333333333,0.75
39,60.78,0.6265060240963856,0.6265060240963856,0.6265060240963856,0.5694444444444444,0.38271604938271603,0.4027777777777778,0.6419753086419753
6,68.74,0.7013574660633484,0.7013574660633484,0.7013574660633484,0.6857142857142857,0.29333333333333333,0.3333333333333333,0.6888888888888889
