subject,accuracy,recall,precision,f1,tn,fn,fp,tp

split_0,91.41,0.9238095238095239,0.9238095238095239,0.9238095238095239,0.9130434782608695,0.07547169811320754,0.09782608695652174,0.9150943396226415
split_1,74.89,0.8,0.8,0.8,0.8,0.176,0.33636363636363636,0.704
split_2,61.53999999999999,0.6323777403035413,0.6323777403035413,0.6323777403035413,0.6161971830985915,0.35737704918032787,0.4137323943661972,0.6147540983606558
split_3,52.769999999999996,0.5246636771300448,0.5246636771300448,0.5246636771300448,0.018518518518518517,0.902127659574468,0.004629629629629629,0.9957446808510638
split_4,69.05,0.7119518486672399,0.7119518486672399,0.7119518486672399,0.7198996655518395,0.268,0.3528428093645485,0.6624
split_5,78.03,0.8248847926267281,0.8248847926267281,0.8248847926267281,0.8362068965517241,0.15447154471544716,0.28879310344827586,0.7276422764227642
split_6,80.97,0.8356589147286821,0.8356589147286821,0.8356589147286821,0.8384146341463414,0.15384615384615385,0.22865853658536586,0.7822931785195936
split_7,69.26,0.7111801242236024,0.7111801242236024,0.7111801242236024,0.717896865520728,0.2714007782101167,0.3447927199191102,0.6682879377431906
split_8,84.61999999999999,0.8913043478260869,0.8913043478260869,0.8913043478260869,0.8780487804878049,0.1,0.21951219512195122,0.82
split_9,74.71,0.7808219178082192,0.7808219178082192,0.7808219178082192,0.7800687285223368,0.20125786163522014,0.30927835051546393,0.7169811320754716
