subj,accuracy,cm,best_epoch
1,93.75,"[[0.875  0.125  0.    ]
 [0.0625 0.9375 0.    ]
 [0.     0.     1.    ]]",5
10,95.0,"[[1.  0.  0. ]
 [0.1 0.9 0. ]
 [0.  0.  1. ]]",5
14,91.67,"[[1.         0.         0.        ]
 [0.         0.91666667 0.08333333]
 [0.         0.16666667 0.83333333]]",3
15,91.67,"[[0.88888889 0.11111111 0.        ]
 [0.05555556 0.94444444 0.        ]
 [0.         0.11111111 0.88888889]]",7
17,73.33,"[[0.53333333 0.33333333 0.13333333]
 [0.1        0.9        0.        ]
 [0.13333333 0.26666667 0.6       ]]",17
19,78.12,"[[0.4375  0.4375  0.125  ]
 [0.03125 0.96875 0.     ]
 [0.      0.25    0.75   ]]",5
2,82.69,"[[0.46153846 0.46153846 0.07692308]
 [0.03846154 0.96153846 0.        ]
 [0.         0.07692308 0.92307692]]",6
20,75.0,"[[0.66666667 0.2        0.13333333]
 [0.1        0.76666667 0.13333333]
 [0.13333333 0.06666667 0.8       ]]",9
21,70.0,"[[1.  0.  0. ]
 [0.6 0.4 0. ]
 [0.  0.  1. ]]",9
23,69.44,"[[0.55555556 0.11111111 0.33333333]
 [0.16666667 0.83333333 0.        ]
 [0.18518519 0.25925926 0.55555556]]",8
25,56.82000000000001,"[[0.72727273 0.27272727 0.        ]
 [0.63636364 0.36363636 0.        ]
 [0.09090909 0.09090909 0.81818182]]",27
28,78.57,"[[0.53571429 0.35714286 0.10714286]
 [0.07142857 0.92857143 0.        ]
 [0.07142857 0.17857143 0.75      ]]",17
29,70.0,"[[0.3 0.6 0.1]
 [0.  1.  0. ]
 [0.3 0.2 0.5]]",3
3,78.25999999999999,"[[0.73913043 0.17391304 0.08695652]
 [0.08695652 0.89130435 0.02173913]
 [0.08695652 0.30434783 0.60869565]]",18
30,87.96000000000001,"[[0.81481481 0.11111111 0.07407407]
 [0.05555556 0.90740741 0.03703704]
 [0.03703704 0.07407407 0.88888889]]",8
31,53.12,"[[0.375  0.5    0.125 ]
 [0.1875 0.75   0.0625]
 [0.25   0.5    0.25  ]]",6
32,90.0,"[[0.8 0.2 0. ]
 [0.1 0.9 0. ]
 [0.  0.  1. ]]",10
33,68.75,"[[1.    0.    0.   ]
 [0.    0.375 0.625]
 [0.    0.    1.   ]]",9
35,83.82,"[[0.70588235 0.26470588 0.02941176]
 [0.05882353 0.94117647 0.        ]
 [0.05882353 0.17647059 0.76470588]]",7
36,80.0,"[[0.8 0.  0.2]
 [0.  1.  0. ]
 [0.  0.6 0.4]]",11
37,85.0,"[[0.8 0.  0.2]
 [0.1 0.9 0. ]
 [0.  0.2 0.8]]",6
38,75.0,"[[0.33333333 0.33333333 0.33333333]
 [0.         1.         0.        ]
 [0.         0.33333333 0.66666667]]",19
39,82.5,"[[0.7  0.3  0.  ]
 [0.15 0.85 0.  ]
 [0.1  0.   0.9 ]]",9
6,73.53,"[[0.58823529 0.35294118 0.05882353]
 [0.11764706 0.88235294 0.        ]
 [0.05882353 0.35294118 0.58823529]]",10
