subj,accuracy,cm,best_epoch
1,81.25,"[[0.375 0.625 0.   ]
 [0.    1.    0.   ]
 [0.    0.125 0.875]]",16
10,100.0,"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]",13
14,91.67,"[[0.83333333 0.16666667 0.        ]
 [0.         1.         0.        ]
 [0.         0.16666667 0.83333333]]",10
15,88.89,"[[0.66666667 0.33333333 0.        ]
 [0.         1.         0.        ]
 [0.         0.11111111 0.88888889]]",10
17,71.67,"[[0.06666667 0.73333333 0.2       ]
 [0.         1.         0.        ]
 [0.         0.2        0.8       ]]",3
19,75.0,"[[0.25    0.625   0.125  ]
 [0.      0.96875 0.03125]
 [0.      0.1875  0.8125 ]]",10
2,75.0,"[[0.23076923 0.61538462 0.15384615]
 [0.         1.         0.        ]
 [0.         0.23076923 0.76923077]]",26
20,73.33,"[[0.4        0.46666667 0.13333333]
 [0.03333333 0.86666667 0.1       ]
 [0.06666667 0.13333333 0.8       ]]",8
21,80.0,"[[0.2 0.8 0. ]
 [0.  1.  0. ]
 [0.  0.  1. ]]",13
23,66.67,"[[0.11111111 0.51851852 0.37037037]
 [0.01851852 0.98148148 0.        ]
 [0.         0.40740741 0.59259259]]",14
25,56.82000000000001,"[[0.90909091 0.09090909 0.        ]
 [0.72727273 0.18181818 0.09090909]
 [0.         0.         1.        ]]",3
28,75.0,"[[0.39285714 0.39285714 0.21428571]
 [0.03571429 0.94642857 0.01785714]
 [0.07142857 0.21428571 0.71428571]]",19
29,72.5,"[[0.4 0.5 0.1]
 [0.  0.9 0.1]
 [0.2 0.1 0.7]]",6
3,72.83,"[[0.39130435 0.47826087 0.13043478]
 [0.         1.         0.        ]
 [0.04347826 0.43478261 0.52173913]]",20
30,83.33,"[[0.51851852 0.40740741 0.07407407]
 [0.         0.98148148 0.01851852]
 [0.07407407 0.07407407 0.85185185]]",8
31,59.38,"[[0.125  0.75   0.125 ]
 [0.0625 0.875  0.0625]
 [0.125  0.375  0.5   ]]",11
32,90.0,"[[0.6 0.4 0. ]
 [0.  1.  0. ]
 [0.  0.  1. ]]",6
33,93.75,"[[0.75 0.25 0.  ]
 [0.   1.   0.  ]
 [0.   0.   1.  ]]",10
35,81.62,"[[0.73529412 0.14705882 0.11764706]
 [0.05882353 0.83823529 0.10294118]
 [0.02941176 0.11764706 0.85294118]]",4
36,75.0,"[[0.4 0.2 0.4]
 [0.  1.  0. ]
 [0.  0.4 0.6]]",17
37,80.0,"[[0.4 0.4 0.2]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",7
38,66.67,"[[0.66666667 0.33333333 0.        ]
 [0.         0.66666667 0.33333333]
 [0.         0.33333333 0.66666667]]",2
39,77.5,"[[0.4 0.6 0. ]
 [0.  0.9 0.1]
 [0.1 0.  0.9]]",12
6,77.94,"[[0.41176471 0.47058824 0.11764706]
 [0.         1.         0.        ]
 [0.11764706 0.17647059 0.70588235]]",9
