subject,accuracy,recall,precision,f1,tn,fn,fp,tp,max epoch

split_0,91.41,0.9238095238095239,0.9238095238095239,0.9238095238095239,0.9130434782608695,0.08695652173913043,0.08490566037735849,0.9150943396226415,15

split_1,79.35,0.8201438848920863,0.8201438848920863,0.8201438848920863,0.8076923076923077,0.19230769230769232,0.2191780821917808,0.7808219178082192,40

split_2,61.650000000000006,0.6451104100946372,0.6451104100946372,0.6451104100946372,0.6631736526946108,0.33682634730538924,0.4271708683473389,0.572829131652661,13

split_3,73.11999999999999,0.8009950248756219,0.8009950248756219,0.8009950248756219,0.8260869565217391,0.17391304347826086,0.356,0.644,11

split_4,65.22,0.6735445836403832,0.6735445836403832,0.6735445836403832,0.6862606232294618,0.31373937677053826,0.38033898305084746,0.6196610169491525,23

split_5,51.580000000000005,0.5197215777262181,0.5197215777262181,0.5197215777262181,0.25,0.75,0.2328767123287671,0.7671232876712328,6

split_6,79.24,0.8177966101694916,0.8177966101694916,0.8177966101694916,0.8213296398891967,0.1786703601108033,0.23513870541611626,0.7648612945838837,16

split_7,70.74000000000001,0.7242290748898679,0.7242290748898679,0.7242290748898679,0.7287694974003466,0.27123050259965337,0.3132832080200501,0.6867167919799498,14

split_8,55.86,0.581081081081081,0.581081081081081,0.581081081081081,0.38,0.62,0.29508196721311475,0.7049180327868853,2

split_9,69.61,0.7220630372492837,0.7220630372492837,0.7220630372492837,0.716374269005848,0.28362573099415206,0.3225806451612903,0.6774193548387096,13

