subject,accuracy,recall,precision,f1,tn,fn,fp,tp,max epoch

split_0,91.41,0.9238095238095239,0.9238095238095239,0.9238095238095239,0.9130434782608695,0.08695652173913043,0.08490566037735849,0.9150943396226415,12
split_1,74.89,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.8090909090909091,0.19090909090909092,0.304,0.696,12
split_2,61.53999999999999,0.6365217391304347,0.6365217391304347,0.6365217391304347,0.6320422535211268,0.36795774647887325,0.4,0.6,29
split_3,67.85,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.2916666666666667,0.34893617021276596,0.6510638297872341,21
split_4,69.87,0.7076923076923077,0.7076923076923077,0.7076923076923077,0.6981605351170569,0.30183946488294316,0.3008,0.6992,20
split_5,76.14999999999999,0.7832618025751072,0.7832618025751072,0.7832618025751072,0.7823275862068966,0.21767241379310345,0.258130081300813,0.741869918699187,14
split_6,82.97,0.8662420382165605,0.8662420382165605,0.8662420382165605,0.8719512195121951,0.12804878048780488,0.2104499274310595,0.7895500725689405,13
split_7,68.07,0.6991701244813278,0.6991701244813278,0.6991701244813278,0.7067745197168858,0.29322548028311424,0.3443579766536965,0.6556420233463035,10
split_8,83.52000000000001,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7560975609756098,0.24390243902439024,0.1,0.9,10
split_9,68.8,0.7077922077922078,0.7077922077922078,0.7077922077922078,0.6907216494845361,0.30927835051546393,0.31446540880503143,0.6855345911949685,33
