subject,accuracy,recall,precision,f1,tn,fn,fp,tp,max epoch

1,87.58,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.8611111111111112,0.1388888888888889,0.1111111111111111,0.8888888888888888,8

10,100.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,9

14,77.78,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8,0.2,0.24,0.76,31

15,71.05,0.7472527472527473,0.7472527472527473,0.7472527472527473,0.7444444444444445,0.25555555555555554,0.32,0.68,21

17,71.17,0.7364016736401674,0.7364016736401674,0.7364016736401674,0.7375,0.2625,0.3125,0.6875,18

19,58.87,0.5682539682539682,0.5682539682539682,0.5682539682539682,0.30612244897959184,0.6938775510204082,0.14761904761904762,0.8523809523809524,8

2,59.419999999999995,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.3333333333333333,0.4722222222222222,0.5277777777777778,13

20,66.25999999999999,0.6834170854271356,0.6834170854271356,0.6834170854271356,0.6785714285714286,0.32142857142857145,0.3523809523809524,0.6476190476190476,21

21,73.33,0.782608695652174,0.782608695652174,0.782608695652174,0.75,0.25,0.28,0.72,9

23,60.64000000000001,0.603448275862069,0.603448275862069,0.603448275862069,0.5416666666666666,0.4583333333333333,0.3315972222222222,0.6684027777777778,10

25,78.95,0.8105263157894737,0.8105263157894737,0.8105263157894737,0.8021978021978022,0.1978021978021978,0.2222222222222222,0.7777777777777778,21

28,77.92999999999999,0.7900355871886121,0.7900355871886121,0.7900355871886121,0.786618444846293,0.21338155515370705,0.22782608695652173,0.7721739130434783,20

29,82.35,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.84375,0.15625,0.19444444444444445,0.8055555555555556,14

3,77.8,0.8269230769230769,0.8269230769230769,0.8269230769230769,0.8425,0.1575,0.2833333333333333,0.7166666666666667,9

30,82.45,0.8621908127208481,0.8621908127208481,0.8621908127208481,0.87,0.13,0.2192,0.7808,8

31,80.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.25,0.75,20

32,100.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,9

33,75.0,0.8,0.8,0.8,0.75,0.25,0.25,0.75,14

35,64.0,0.6596685082872928,0.6596685082872928,0.6596685082872928,0.6795005202913632,0.32049947970863685,0.39818548387096775,0.6018145161290323,24

36,94.44,1.0,1.0,1.0,1.0,0.0,0.1,0.9,14

37,90.91,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.84,0.16,0.03333333333333333,0.9666666666666667,8

38,85.71,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8888888888888888,0.1111111111111111,0.16666666666666666,0.8333333333333334,16

39,58.17,0.6024096385542169,0.6024096385542169,0.6024096385542169,0.5416666666666666,0.4583333333333333,0.38271604938271603,0.6172839506172839,8

6,76.32,0.7772727272727272,0.7772727272727272,0.7772727272727272,0.7666666666666667,0.23333333333333334,0.24,0.76,11

