subject,accuracy,recall,precision,f1,tn,fn,fp,tp,max epoch

1,88.89,0.9,0.9,0.9,0.8888888888888888,0.1111111111111111,0.1111111111111111,0.8888888888888888,15

10,100.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,11

14,80.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8,0.2,0.2,0.8,15

15,74.21,0.7575757575757576,0.7575757575757576,0.7575757575757576,0.7333333333333333,0.26666666666666666,0.25,0.75,10

17,67.14,0.6929460580912863,0.6929460580912863,0.6929460580912863,0.6916666666666667,0.30833333333333335,0.34765625,0.65234375,19

19,59.11,0.6089108910891089,0.6089108910891089,0.6089108910891089,0.5969387755102041,0.4030612244897959,0.4142857142857143,0.5857142857142857,5

2,57.97,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.7424242424242424,0.25757575757575757,0.5694444444444444,0.4305555555555556,7

20,67.49000000000001,0.703125,0.703125,0.703125,0.7091836734693877,0.29081632653061223,0.35714285714285715,0.6428571428571429,18

21,75.56,0.85,0.85,0.85,0.85,0.15,0.32,0.68,6

23,59.21999999999999,0.5863095238095238,0.5863095238095238,0.5863095238095238,0.4963768115942029,0.5036231884057971,0.3159722222222222,0.6840277777777778,7

25,80.53,0.8522727272727273,0.8522727272727273,0.8522727272727273,0.8571428571428571,0.14285714285714285,0.24242424242424243,0.7575757575757576,12

28,72.61,0.7435897435897436,0.7435897435897436,0.7435897435897436,0.7468354430379747,0.25316455696202533,0.29391304347826086,0.7060869565217391,13

29,83.09,0.855072463768116,0.855072463768116,0.855072463768116,0.84375,0.15625,0.18055555555555555,0.8194444444444444,26

3,76.1,0.788659793814433,0.788659793814433,0.788659793814433,0.795,0.205,0.2714285714285714,0.7285714285714285,36

30,84.41,0.9018518518518519,0.9018518518518519,0.9018518518518519,0.9116666666666666,0.08833333333333333,0.2208,0.7792,11

31,84.17,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9107142857142857,0.08928571428571429,0.21875,0.78125,33

32,100.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,7

33,82.14,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.75,0.25,0.125,0.875,24

35,66.97,0.6801661474558671,0.6801661474558671,0.6801661474558671,0.6795005202913632,0.32049947970863685,0.3397177419354839,0.6602822580645161,12

36,80.56,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8125,0.1875,0.2,0.8,8

37,85.45,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.84,0.16,0.13333333333333333,0.8666666666666667,21

38,66.67,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,5

39,62.74999999999999,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.6666666666666666,8

6,80.69,0.8190045248868778,0.8190045248868778,0.8190045248868778,0.8095238095238095,0.19047619047619047,0.19555555555555557,0.8044444444444444,21

