subject,accuracy,recall,precision,f1,tn,fn,fp,tp,max epoch

1,88.89,0.9,0.9,0.9,0.8888888888888888,0.1111111111111111,0.1111111111111111,0.8888888888888888,19

10,100.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,10

14,80.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8,0.2,0.2,0.8,13

15,77.89,0.8152173913043478,0.8152173913043478,0.8152173913043478,0.8111111111111111,0.18888888888888888,0.25,0.75,27

17,66.73,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7291666666666666,0.2708333333333333,0.390625,0.609375,9

19,60.589999999999996,0.6329787234042553,0.6329787234042553,0.6329787234042553,0.6479591836734694,0.3520408163265306,0.43333333333333335,0.5666666666666667,5

2,59.06,0.6183206106870229,0.6183206106870229,0.6183206106870229,0.6212121212121212,0.3787878787878788,0.4375,0.5625,26

20,65.27,0.6949152542372882,0.6949152542372882,0.6949152542372882,0.7244897959183674,0.2755102040816326,0.4142857142857143,0.5857142857142857,7

21,66.67,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7,0.3,0.36,0.64,25

23,58.160000000000004,0.5925266903914591,0.5925266903914591,0.5925266903914591,0.5851449275362319,0.4148550724637681,0.421875,0.578125,5

25,73.68,0.7634408602150538,0.7634408602150538,0.7634408602150538,0.7582417582417582,0.24175824175824176,0.2828282828282828,0.7171717171717171,14

28,75.89,0.7690941385435168,0.7690941385435168,0.7690941385435168,0.7649186256781193,0.23508137432188064,0.24695652173913044,0.7530434782608696,18

29,75.74,0.819672131147541,0.819672131147541,0.819672131147541,0.828125,0.171875,0.3055555555555556,0.6944444444444444,14

3,82.44,0.7565055762081785,0.7565055762081785,0.7565055762081785,0.6725,0.3275,0.030952380952380953,0.969047619047619,4

30,79.92,0.8528864059590316,0.8528864059590316,0.8528864059590316,0.8683333333333333,0.13166666666666665,0.2672,0.7328,7

31,85.83,0.8983050847457628,0.8983050847457628,0.8983050847457628,0.8928571428571429,0.10714285714285714,0.171875,0.828125,8

32,100.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,9

33,64.29,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.3333333333333333,0.6666666666666666,0.125,0.875,4

35,69.02000000000001,0.7078410311493019,0.7078410311493019,0.7078410311493019,0.7169614984391259,0.28303850156087407,0.33568548387096775,0.6643145161290323,10

36,77.78,0.8,0.8,0.8,0.75,0.25,0.2,0.8,24

37,85.45,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.76,0.24,0.06666666666666667,0.9333333333333333,5

38,71.43,0.8,0.8,0.8,0.7777777777777778,0.2222222222222222,0.3333333333333333,0.6666666666666666,10

39,61.44,0.6617647058823529,0.6617647058823529,0.6617647058823529,0.6805555555555556,0.3194444444444444,0.4444444444444444,0.5555555555555556,13

6,77.92999999999999,0.8,0.8,0.8,0.7952380952380952,0.20476190476190476,0.23555555555555555,0.7644444444444445,8

