subject,accuracy,recall,precision,f1,tn,fn,fp,tp,max epoch

split_0,54.04,0.5428571428571428,0.5428571428571428,0.5428571428571428,0.13043478260869565,0.8695652173913043,0.10377358490566038,0.8962264150943396,13

split_1,79.71000000000001,0.8308823529411765,0.8308823529411765,0.8308823529411765,0.823076923076923,0.17692307692307693,0.22602739726027396,0.773972602739726,34

split_2,65.63,0.6824427480916031,0.6824427480916031,0.6824427480916031,0.688622754491018,0.31137724550898205,0.3739495798319328,0.6260504201680672,15

split_3,68.12,0.7235023041474654,0.7235023041474654,0.7235023041474654,0.7391304347826086,0.2608695652173913,0.372,0.628,6

split_4,65.71000000000001,0.6692254012561061,0.6692254012561061,0.6692254012561061,0.6643059490084986,0.3356940509915014,0.34983050847457625,0.6501694915254237,25

split_5,51.67,0.5166825548141086,0.5166825548141086,0.5166825548141086,0.08152173913043478,0.9184782608695652,0.07191780821917808,0.928082191780822,5

split_6,78.63,0.8145506419400856,0.8145506419400856,0.8145506419400856,0.8199445983379502,0.18005540166204986,0.24570673712021135,0.7542932628797886,19

split_7,72.39,0.7386759581881533,0.7386759581881533,0.7386759581881533,0.7400346620450606,0.25996533795493937,0.29156223893065997,0.70843776106934,10

split_8,55.86,0.5566037735849056,0.5566037735849056,0.5566037735849056,0.06,0.94,0.03278688524590164,0.9672131147540983,9

split_9,72.41,0.7478753541076487,0.7478753541076487,0.7478753541076487,0.7397660818713451,0.260233918128655,0.2903225806451613,0.7096774193548387,12

