subject,accuracy,recall,precision,f1,tn,fn,fp,tp,max epoch

split_0,91.41,0.9238095238095239,0.9238095238095239,0.9238095238095239,0.9130434782608695,0.08695652173913043,0.08490566037735849,0.9150943396226415,19
split_1,77.53999999999999,0.8043478260869565,0.8043478260869565,0.8043478260869565,0.7923076923076923,0.2076923076923077,0.23972602739726026,0.7602739726027398,18
split_2,61.29,0.6445880452342488,0.6445880452342488,0.6445880452342488,0.6706586826347305,0.32934131736526945,0.4411764705882353,0.5588235294117647,8
split_3,66.03999999999999,0.7061611374407583,0.7061611374407583,0.7061611374407583,0.7304347826086957,0.26956521739130435,0.404,0.596,21
split_4,67.61,0.6882845188284519,0.6882845188284519,0.6882845188284519,0.68342776203966,0.31657223796033995,0.33084745762711865,0.6691525423728814,20
split_5,74.38,0.8008213552361396,0.8008213552361396,0.8008213552361396,0.8242753623188406,0.17572463768115942,0.3321917808219178,0.6678082191780822,7
split_6,78.57,0.8089887640449438,0.8089887640449438,0.8089887640449438,0.8116343490304709,0.1883656509695291,0.23910171730515192,0.760898282694848,19
split_7,67.84,0.7155425219941349,0.7155425219941349,0.7155425219941349,0.7478336221837089,0.25216637781629114,0.38847117794486213,0.6115288220551378,38
split_8,88.29,0.875,0.875,0.875,0.84,0.16,0.08196721311475409,0.9180327868852459,23
split_9,72.69,0.7657657657657657,0.7657657657657657,0.7657657657657657,0.7719298245614035,0.22807017543859648,0.31451612903225806,0.6854838709677419,17
