subj,accuracy,cm,best_epoch
1,81.25,"[[0.375 0.625 0.   ]
 [0.    1.    0.   ]
 [0.    0.125 0.875]]",20
10,70.0,"[[0.8 0.2 0. ]
 [0.  0.5 0.5]
 [0.  0.  1. ]]",13
14,79.17,"[[0.66666667 0.33333333 0.        ]
 [0.         0.91666667 0.08333333]
 [0.         0.33333333 0.66666667]]",12
15,91.67,"[[0.66666667 0.33333333 0.        ]
 [0.         1.         0.        ]
 [0.         0.         1.        ]]",11
17,46.67,"[[0.2        0.66666667 0.13333333]
 [0.         0.46666667 0.53333333]
 [0.06666667 0.2        0.73333333]]",17
19,70.30999999999999,"[[0.125   0.6875  0.1875 ]
 [0.      0.96875 0.03125]
 [0.      0.25    0.75   ]]",8
2,51.92,"[[0.23076923 0.69230769 0.07692308]
 [0.         0.46153846 0.53846154]
 [0.         0.07692308 0.92307692]]",3
20,73.33,"[[0.26666667 0.6        0.13333333]
 [0.03333333 0.9        0.06666667]
 [0.06666667 0.06666667 0.86666667]]",11
21,75.0,"[[0.2 0.8 0. ]
 [0.  0.9 0.1]
 [0.  0.  1. ]]",10
23,65.74,"[[0.03703704 0.62962963 0.33333333]
 [0.         1.         0.        ]
 [0.         0.40740741 0.59259259]]",10
25,54.55,"[[0.18181818 0.81818182 0.        ]
 [0.         0.5        0.5       ]
 [0.         0.         1.        ]]",11
28,49.11,"[[0.28571429 0.46428571 0.25      ]
 [0.03571429 0.46428571 0.5       ]
 [0.03571429 0.21428571 0.75      ]]",20
29,70.0,"[[0.2  0.6  0.2 ]
 [0.   0.95 0.05]
 [0.1  0.2  0.7 ]]",16
3,69.57,"[[0.17391304 0.60869565 0.2173913 ]
 [0.         1.         0.        ]
 [0.         0.39130435 0.60869565]]",9
30,78.7,"[[0.2962963  0.62962963 0.07407407]
 [0.         0.98148148 0.01851852]
 [0.         0.11111111 0.88888889]]",13
31,68.75,"[[0.125  0.5    0.375 ]
 [0.     0.9375 0.0625]
 [0.     0.25   0.75  ]]",5
32,65.0,"[[0.6 0.4 0. ]
 [0.  0.5 0.5]
 [0.  0.  1. ]]",8
33,75.0,"[[0. 1. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]",4
35,48.53,"[[0.20588235 0.64705882 0.14705882]
 [0.         0.45588235 0.54411765]
 [0.         0.17647059 0.82352941]]",9
36,70.0,"[[0.8 0.2 0. ]
 [0.1 0.8 0.1]
 [0.2 0.4 0.4]]",1
37,50.0,"[[0.4 0.4 0.2]
 [0.5 0.4 0.1]
 [0.2 0.  0.8]]",1
38,66.67,"[[0.         0.66666667 0.33333333]
 [0.         1.         0.        ]
 [0.         0.33333333 0.66666667]]",19
39,80.0,"[[0.4  0.6  0.  ]
 [0.   0.95 0.05]
 [0.   0.1  0.9 ]]",15
6,52.94,"[[0.35294118 0.52941176 0.11764706]
 [0.         0.47058824 0.52941176]
 [0.         0.17647059 0.82352941]]",13
